あ	0001
ぁ	0001a
か	0002
が	0002a
さ	0010
ざ	0010a
た	0020
だ	0020a
な	0100
は	0200
ば	0200a
ま	1000
ぱ	1000a
ら	2000

い	0011
ぃ	0011a
き	0022
ぎ	0022a
し	0110
じ	0110a
ち	0220
ぢ	0220a
に	1100
ひ	2200
び	2200a
み	1001
ぴ	1001a
り	2002

う	0003
ぅ	0003a
く	0030
ぐ	0030a
す	0300
ず	0300a
つ	3000
づ	3000a
ぬ	0111
ふ	0222
ぶ	0222a
む	1110
ぷ	1110a
る	2220

え	0212
ぇ	0212a
け	0012
げ	0012a
せ	0102
ぜ	0102a
て	0210
で	0210a
ね	2100
へ	0201
べ	0201a
め	2010
ぺ	2010a
れ	2001

お	0013
ぉ	0013a
こ	0032
ご	0032a
そ	0310
ぞ	0310a
と	0230
ど	0230a
の	0103
ほ	0203
ぼ	0203a
も	0301
ぽ	0301a
ろ	0302

や	0033
ゃ	0033a
きゃ	0330
ぎゃ	0330a
しゃ	0303
じゃ	0303a
ちゃ	3003
ぢゃ	3003a
にゃ	1111
ひゃ	2222
びゃ	2222a
みゃ	0113
ぴゃ	0113a
りゃ	0311

ゆ	0112
ゅ	0112a
きゅ	0211
ぎゅ	0211a
しゅ	2110
じゅ	2110a
ちゅ	2101
ぢゅ	2101a
にゅ	0221
ひゅ	0122
びゅ	0122a
みゅ	2210
ぴゅ	2210a
りゅ	2201

よ	2300
ょ	2300a
きょ	3100
ぎょ	3100a
しょ	0320
じょ	0320a
ちょ	0130
ぢょ	0130a
にょ	1003
ひょ	2003
びょ	2003a
みょ	3002
ぴょ	3002a
りょ	3001

わ	1101
を	2202
ゐ	1101a
ゑ	2202a

ん	0101
ー	0101a
っ	0202
